station1,Color
CEDARS STATION,Blue
CONVENTION CENTER STATION,Blue
EBJ UNION STATION,Blue
WEST END STATION,Blue
AKARD STATION,Blue
ST PAUL STATION,Blue
PEARL/ARTS DISTRICT STATION,Blue
CITYPLACE/UPTOWN STATION,Blue
SMU/MOCKINGBIRD STATION,Blue
WHITE ROCK STATION,Blue
LAKE HIGHLANDS STATION,Blue
LBJ / SKILLMAN STATION,Blue
FOREST / JUPITER STATION,Blue
DOWNTOWN GARLAND STATION, Blue
DOWNTOWN ROWLETT STATION,Blue
WESTMORELAND STATION,Red
HAMPTON STATION,Red
TYLER VERNON STATION,Red
ZOO STATION,Red
8TH & CORINTH STATION,Red
CEDARS STATION,Red
CONVENTION CENTER STATION,Red
EBJ UNION STATION,Red
WEST END STATION,Red
AKARD STATION,Red
ST PAUL STATION,Red
PEARL/ARTS DISTRICT STATION,Red
CITYPLACE/UPTOWN STATION,Red
SMU/MOCKINGBIRD STATION,Red
LOVERS LANE STATION,Red
PARK LANE STATION,Red
WALNUT HILL STATION,Red
FOREST LN STATION,Red
LBJ / CENTRAL STATION,Red
SPRING VALLEY STATION,Red
ARAPAHO CENTER STATION,Red
GALATYN PARK STATION,Red
CITYLINE/BUSH STATION,Red
DOWNTOWN PLANO STATION, Red
PARKER ROAD STATION,Red
BACHMAN STATION,Green
BURBANK STATION,Green
INWOOD/LOVE FIELD STATION,Green
SOUTHWEST MEDICAL DISTRICT/PARKLAND,Green
MARKET CENTER STATION,Green
VICTORY STATION,Green
WEST END STATION,Green
AKARD STATION,Green
ST PAUL STATION,Green
PEARL/ARTS DISTRICT STATION,Green
DEEP ELLUM STATION,Green
BAYLOR STATION,Green
FAIR PARK STATION,Green
MLK STATION,Green
HATCHER STATION,Green
LAWNVIEW STATION,Green
LAKE JUNE STATION, Green
BUCKNER STATION,Green
DFW AIRPORT STATION,Orange
BELT LINE STATION,Orange
DALLAS COLLEGE NORTHLAKE CAMPUS STATION,Orange
HIDDEN RIDGE STATION,Orange
IRVING CONVENTION CENTER STATION,Orange
LAS COLINAS URBAN CENTER STATION,Orange
UNIVERSITY OF DALLAS STATION,Orange
BACHMAN STATION,Orange
BURBANK STATION,Orange
INWOOD/LOVE FIELD STATION,Orange
SOUTHWEST MEDICAL DISTRICT/PARKLAND,Orange
MARKET CENTER STATION,Orange
VICTORY STATION,Orange
WEST END STATION,Orange
AKARD STATION,Orange
ST PAUL STATION,Orange
PEARL/ARTS DISTRICT STATION,Orange
CITYPLACE/UPTOWN STATION,Orange
SMU/MOCKINGBIRD STATION,Orange
LOVERS LANE STATION,Orange
PARK LANE STATION,Orange
WALNUT HILL STATION,Orange
FOREST LN STATION,Orange
LBJ / CENTRAL STATION,Orange
SPRING VALLEY STATION,Orange
ARAPAHO CENTER STATION,Orange
GALATYN PARK STATION,Orange
CITYLINE/BUSH STATION,Orange
DOWNTOWN PLANO STATION, Orange
PARKER ROAD STATION,Orange
