station1,station2
CEDARS STATION,CONVENTION CENTER STATION
CONVENTION CENTER STATION,EBJ UNION STATION
EBJ UNION STATION,WEST END STATION
WEST END STATION,AKARD STATION
AKARD STATION,ST PAUL STATION
ST PAUL STATION,PEARL/ARTS DISTRICT STATION
PEARL/ARTS DISTRICT STATION,CITYPLACE/UPTOWN STATION
CITYPLACE/UPTOWN STATION,SMU/MOCKINGBIRD STATION
SMU/MOCKINGBIRD STATION,WHITE ROCK STATION
WHITE ROCK STATION,LAKE HIGHLANDS STATION
LAKE HIGHLANDS STATION,LBJ / SKILLMAN STATION
LBJ / SKILLMAN STATION,FOREST / JUPITER STATION
FOREST / JUPITER STATION,DOWNTOWN GARLAND STATION
DOWNTOWN GARLAND STATION,DOWNTOWN ROWLETT STATION
WESTMORELAND STATION,HAMPTON STATION
HAMPTON STATION,TYLER VERNON STATION
TYLER VERNON STATION,ZOO STATION
ZOO STATION,8TH & CORINTH STATION
LOVERS LANE STATION,PARK LANE STATION
PARK LANE STATION,WALNUT HILL STATION
WALNUT HILL STATION,FOREST LN STATION
FOREST LN STATION,LBJ / CENTRAL STATION
LBJ / CENTRAL STATION,SPRING VALLEY STATION
SPRING VALLEY STATION,ARAPAHO CENTER STATION
ARAPAHO CENTER STATION,GALATYN PARK STATION
GALATYN PARK STATION,CITYLINE/BUSH STATION
CITYLINE/BUSH STATION,DOWNTOWN PLANO STATION
DOWNTOWN PLANO STATION,PARKER ROAD STATION
BACHMAN STATION,BURBANK STATION
BURBANK STATION,INWOOD/LOVE FIELD STATION
INWOOD/LOVE FIELD STATION,SOUTHWEST MEDICAL DISTRICT/PARKLAND
SOUTHWEST MEDICAL DISTRICT/PARKLAND,MARKET CENTER STATION
MARKET CENTER STATION,VICTORY STATION
PEARL/ARTS DISTRICT STATION,DEEP ELLUM STATION
DEEP ELLUM STATION,BAYLOR STATION
BAYLOR STATION,FAIR PARK STATION
FAIR PARK STATION,MLK STATION
MLK STATION,HATCHER STATION
HATCHER STATION,LAWNVIEW STATION
LAWNVIEW STATION,LAKE JUNE STATION
LAKE JUNE STATION,BUCKNER STATION
DFW AIRPORT STATION,BELT LINE STATION
BELT LINE STATION,DALLAS COLLEGE NORTHLAKE CAMPUS STATION
DALLAS COLLEGE NORTHLAKE CAMPUS STATION,HIDDEN RIDGE STATION
HIDDEN RIDGE STATION,IRVING CONVENTION CENTER STATION
IRVING CONVENTION CENTER STATION,LAS COLINAS URBAN CENTER STATION
LAS COLINAS URBAN CENTER STATION,UNIVERSITY OF DALLAS STATION
